Originate from Zemax, modified by Congli Wang
type distance roc diameter material
O 0 0 0 AIR
S 0 5.267 1.694 1.5168/64.12
S 0.102 0.961 1.392 AIR
S 0.309 1.442 1.322 1.9027/35.72
S 0.246 10.280 1.250 1.5955/39.21
S 0.083 1.215 1.092 AIR
S 0.411 -1.099 1.048 1.6990/30.05
S 0.088 2.918 1.172 1.9108/35.25
S 0.258 -1.669 1.202 AIR
S 0.009 1.643 1.248 1.5928/68.62
S 0.379 -1.412 1.226 1.7205/34.70
S 0.069 -2.572 1.214 AIR
A 0.118 0 1.110 OCCLUDER
S 0.604 -0.973 0.952 1.5927/35.31
S 0.051 -24.080 0.980 AIR
S 0.009 2.376 1.086 1.5928/68.62
S 0.282 -1.306 1.138 AIR
S 0.239 -7.317 1.208 1.6935/53.20 0 -0.240 -0.4268
S 0.122 -2.200 1.254 AIR 0 -0.05053 -0.3491 0.1459 0.07718
S 0.154 -1.545 1.324 1.4875/70.44
S 0.083 -7.257 1.424 AIR
S 0.750 0 2.400 1.5168/64.12
S 0.074 0 2.400 AIR
I 0.043 0 1.912 AIR
